Evaporation,Sunshine,WindSpeed3pm,Humidity3pm,Pressure3pm,Cloud3pm,Temp3pm,RainTomorrow
9.8,13.5,35,24,1003.5,1,27,No
17,12.9,28,8,1010.9,0,28.5,No
16.8,10.1,26,7,1009,4,35,No
13.8,5.5,33,39,1001.5,6,32.5,Yes
13.6,13.3,11,15,1012,1,38.9,No
11.4,12.2,11,17,1002.8,1,39.7,No
9.4,3.8,11,29,1015.1,6,24.4,Yes
8.4,12.2,24,16,1005.2,2,31.6,No
9,12,7,21,1015.1,0,29.9,No
12,11.5,31,30,1012.2,5,20.2,No
11.4,5.3,13,38,1016.3,7,27.3,Yes
6.2,10.1,9,15,1013.6,1,29.1,No
3.2,6.9,20,37,1017.8,7,26.4,No
7,10.7,20,36,1018.3,1,29.8,No
4.8,10.7,4,24,1019.6,1,25.5,No
8,10.6,19,20,1012.8,2,20.4,No
5.4,9.5,20,30,1015.7,1,22.8,No
2.4,3.4,26,46,1014,3,16.1,No
2.2,6.4,2,61,1021.5,1,15,No
0,0.9,6,71,1017.4,7,16.1,No
1.4,4,9,72,1023.1,7,8.8,No
1,8.9,7,51,1028.2,6,15.7,No
1.2,1.7,13,76,1013.3,6,11.4,No
1.8,2.9,31,73,1008,5,11.4,Yes
3,9.4,15,52,1028.4,1,15.4,No
2.4,4.5,13,71,1018.8,4,10.9,No
1.6,5.5,13,53,1018.2,6,17,No
1.4,0,9,95,1016.1,8,9.8,No
2,10.3,6,41,1014.7,1,19.3,No
2,10.1,13,31,1015.2,0,17.7,No
2.4,9,17,55,1012.3,5,19.3,Yes
1,10.6,20,41,1017.2,1,15.8,No
4,0.7,20,23,1012.6,8,20.7,Yes
1.4,4.2,20,38,1013.4,6,16.7,No
5,3.3,7,21,1008.8,7,26.3,No
3.2,11.2,17,26,1022.1,1,17.3,No
5.2,4,28,77,1008,5,14.2,Yes
8.6,12.3,13,19,1017.6,5,30.1,No
8.4,5,15,49,1021.6,7,23.4,No
9.2,13.3,9,19,1017.4,1,25.5,No
12.6,9.7,33,7,1013.8,7,37.7,No
11.2,4.9,35,7,1005.8,5,40,No
11.8,7.9,50,74,1009.7,7,23.2,Yes
8,12.9,7,14,1015.3,4,29.7,No
13.2,9.9,39,4,1004.8,5,40.8,Yes
17,3.7,33,13,1005,7,36.9,Yes
15.2,6.3,24,37,1012.9,7,31.1,No
14.4,13.7,6,12,1012.3,1,32.3,No
10.6,12.6,9,26,1012.2,1,32,No
12,10.6,30,12,1008.1,4,38,No
14.8,10.5,9,5,1005.6,4,34,No
15.2,6.3,26,68,1006.8,7,26.5,Yes
7.8,11.6,11,30,1011,6,34.5,Yes
7,12.8,15,27,1019.6,1,28.1,No
8,12.5,15,31,1021.9,1,27.7,No
7.2,6,13,38,1010.3,7,27.6,Yes
4.6,11.7,9,36,1029.8,1,23.1,No
4.4,10.8,7,27,1022,1,29.6,No
4,10.9,9,34,1017.9,1,28.6,No
4,10.5,13,36,1017.1,4,25.8,No
1.6,7.9,22,43,1015.4,5,23,No
2.2,10.6,6,33,1020.4,1,23.7,No
3,10.6,7,31,1019.6,1,28,No
3.8,4.4,17,47,1020.3,6,18.8,No
2,3.8,11,67,1022.1,7,14,No
1.8,9.7,19,50,1020.2,1,16.4,No
2.4,6.4,13,49,1017.7,6,17.6,No
1.6,5.7,6,45,1023.2,7,17.4,No
0.6,5.2,20,57,1021.6,5,11.9,No
1.6,2,24,89,1012.4,7,9,No
2,9.1,11,57,1025.3,2,17.2,No
0,8.8,7,49,1026.4,1,13.9,No
1.8,3,20,63,1022.2,3,11.2,No
0.8,8.5,2,52,1030.6,1,13.1,No
0.8,0.3,9,91,1015.6,8,11.7,Yes
1.6,6.9,11,71,1018.6,5,10,No
1.6,5.1,37,58,1008.5,2,13.5,No
0.6,6.6,26,58,1009,6,13.7,No
1.8,2,19,80,1002.2,6,9.3,Yes
4,2.6,17,83,1009.4,7,13.3,Yes
2.4,5.5,26,53,1018.2,4,11.9,No
2.2,7.4,13,62,1022.2,3,18.1,No
4,10.1,11,37,1023.6,7,14.8,No
6.2,11.5,26,42,1020.7,1,15.7,No
2.6,2.6,7,68,1011.1,7,18.5,Yes
2.8,10.8,9,37,1020.9,4,23.4,No
5.8,12.8,17,49,1016.7,2,22.3,No
4.8,8.1,7,44,1018.6,7,17.2,No
5,13.3,15,25,1010.7,5,29.8,No
6.6,6.5,19,30,1016.3,7,29.9,Yes
3.6,5.9,11,70,1011.5,7,23.7,Yes
12.2,3.3,15,46,1007.3,4,26.7,Yes
7,12.8,24,18,1003.8,1,25.3,No
6,13.9,26,23,1016.9,1,29.6,No
8,13.6,24,12,1013.3,1,35,No
6.8,13.5,11,34,1007.6,1,29.5,No
8.4,3.2,26,53,1006.6,7,30.3,No
7,13.3,11,32,1008.8,2,30.6,No
10,12.6,28,12,1013.5,1,32.4,No
11,7.8,13,52,1012.5,1,32.6,No
8.4,6.6,11,39,1016.3,7,30.1,No
1.8,9.1,6,61,1010.8,3,26.9,No
5.6,10.5,11,36,1015.7,1,28.2,No
4.8,11.4,20,34,1011.3,1,23,No
2.8,0.2,9,98,1012.4,8,19,Yes
5.4,10.8,9,31,1015.8,1,26.8,No
5.2,4.2,30,68,1005.1,7,18.9,Yes
3,10.5,6,31,1021.3,1,20.6,No
2.4,10.1,11,27,1021.8,1,18.2,No
1.2,2.1,9,59,1013.9,7,11,Yes
1.8,8.1,2,32,1028.4,1,20.6,No
1.4,8.8,13,47,1018.4,1,14.2,No
1.2,8.8,15,46,1023.3,1,18.3,No
0.4,3.6,20,53,1016.5,6,14,No
2,8.4,6,48,1018.1,1,17.1,No
0.8,2.7,15,66,1021.6,7,13,No
1.2,8.9,13,43,1034.1,2,16.8,No
4,5.9,24,57,1018.7,4,9.5,No
0.8,5.4,9,58,1029.2,1,11.2,No
2.4,9.6,17,42,1019.6,2,16.1,No
1,9.4,4,43,1027.5,2,14.4,No
3,8.8,17,28,1022.9,3,23.3,No
1.6,9.5,22,61,1011.4,6,15.7,No
3.8,0.1,28,93,1011.3,8,8.6,Yes
2,10.5,19,36,1022.1,1,20.4,No
2.2,10.3,7,51,1023.1,1,17.3,No
3,7.9,9,43,1017.3,6,15.2,No
4.6,10,19,29,1020.8,1,17.3,No
4,10.6,17,23,1017.8,0,23.5,No
3.8,2.8,37,87,997.6,7,10,Yes
2.6,0,13,84,1012.6,8,13.7,No
4,9.8,9,41,1017.8,6,22.2,No
5.2,12.6,9,21,1022.1,1,27.8,No
6.6,12.8,20,35,1017.9,4,23.9,No
8.4,12.9,22,17,1011.9,1,23.2,No
9.6,10,28,30,1015.8,2,22.8,No
4.4,11.6,13,36,1014.8,7,27.1,No
8.6,6.5,28,38,1021.8,7,21,Yes
4.8,13.6,26,17,1018.6,1,22,No
6.4,11.1,13,31,1009.9,4,27.3,No
7.8,13.3,9,33,1014,4,26.1,No
7.2,10.3,13,41,1012.1,6,26.6,Yes
8,12.7,9,40,1012,3,28.5,No
10.2,13.6,20,12,1011.3,6,30.1,No
8,13.4,20,24,1015,1,22.7,No
8,13.4,6,22,1012.3,4,33.7,No
12,8.2,30,30,1010.1,6,30.8,No
9.4,2.1,24,50,1008.8,6,21.6,Yes
7.8,6,20,53,1009.1,7,24.3,Yes
9.4,3.6,11,38,1016.1,7,29.4,No
5.6,12.8,13,26,1017.5,6,30.2,No
4,0,24,92,1001.1,8,22.5,Yes
6.4,7.4,35,42,1009.5,7,22.7,No
6.6,9.4,22,43,1011.3,4,28.7,Yes
5.8,10.6,15,51,1006.3,1,20.6,No
2.6,10.3,11,40,1016.8,1,24.2,No
3.4,10.5,6,47,1016.1,2,28,No
3,11.2,13,32,1030.5,0,21.9,No
2.6,3.5,17,64,1015.2,6,21.4,No
2,0.9,13,67,1019.2,7,15,No
3.2,9.1,7,38,1019.5,3,23.4,No
1,9.7,4,38,1022.2,5,17.5,No
3.2,0,11,92,1015.8,8,10.8,Yes
0.8,9.2,7,47,1030.2,1,17.2,No
2,7.6,13,40,1023.5,2,13.9,No
1.4,5.5,17,50,1014.3,7,16.4,No
1.2,5.3,17,49,1009,7,14.3,Yes
2.2,2.7,9,55,1019.4,7,14.4,No
1,9.9,9,44,1032.5,1,13.4,No
0.8,0.1,13,81,1011,7,13.3,Yes
1,7.7,20,42,1023.1,1,12,No
1.2,5.7,13,57,1011.3,4,14.2,No
1.6,5.3,7,52,1020.5,7,12.1,No
1.6,5.2,24,54,1011.5,5,13.3,Yes
3,0,22,78,1005,7,13.8,Yes
2.2,9.2,33,34,1014.9,4,12.1,No
5.6,6.9,19,42,1008.8,5,18.4,No
3.4,7.5,39,40,1012.4,5,13.5,No
3.2,7.8,22,37,1011.3,3,22.2,No
6.8,6.3,24,36,1009.1,4,24.9,No
5,11.7,33,15,1014.3,1,29.1,No
4,0.9,17,85,1007.1,7,9,Yes
6.2,11,13,29,1016.8,7,24.4,No
6.4,11.4,35,24,1008.3,1,27.1,No
6.8,6.2,35,33,1009.1,5,20.4,No
1.2,8.4,17,33,1011.8,2,25.3,Yes
6.8,8.3,24,13,1010.9,7,26.1,No
10.4,12.6,11,25,1013,2,26.7,No
8.4,12.9,19,28,1008.3,1,36.5,No
13.6,13.7,9,18,1011.7,1,32.7,No
12,13.6,7,17,1005.4,1,31.1,No
10.6,12,17,8,1005.3,1,36.9,No
12,13.2,11,24,1010.9,2,33.6,No
8.4,13.1,13,11,1006.7,1,32.6,No
7.6,11.8,13,27,1015.4,5,31.4,No
9.8,11.4,20,21,1009.5,1,29,No
8.6,0,20,86,1012,8,18.1,Yes
10,0.1,28,91,1016.2,8,15.6,Yes
4,11,13,36,1025.1,2,23.7,No
2.8,9.2,15,28,1020.8,5,26.7,No
2.8,10.4,19,30,1013.5,3,22.8,No
2.4,9.6,19,37,1021.1,5,20.6,No
3.2,10.5,11,24,1024.8,1,18.4,No
2.6,9.6,2,33,1027.7,1,22.7,No
0.6,4.9,24,60,1010.2,7,13.7,Yes
0.8,7.6,13,42,1016.3,2,18,No
1.2,0.2,17,88,1024.7,7,14.9,Yes
1.4,0.7,13,61,1020.1,7,16.3,No
1.2,0.6,24,86,1006.1,7,12,Yes
0.8,7.2,6,54,1022.3,5,12.6,No
1.6,3.8,9,57,1020.6,7,15.7,No
1,3.4,19,55,1012.7,6,14.5,No
1.6,6.9,6,57,1031.8,7,14.7,Yes
1.6,1.2,22,71,1015.7,7,18,Yes
0.6,5.3,2,58,1028.2,7,11.4,No
1.4,7.9,7,49,1020.2,5,15.8,No
1.6,8.9,15,56,1014.6,2,13.8,No
3.4,9.2,17,55,1021.8,3,13.2,No
1.6,3.2,30,75,1011.3,7,11,Yes
2.4,1.1,20,52,1013.1,7,19.2,No
2.2,3.1,15,51,1024.8,7,22.9,No
2.8,9.3,22,50,1015.1,6,14.5,No
3.4,8.6,24,47,1007.6,4,14.4,No
4.4,9.8,39,35,1011.9,4,16.8,No
5.6,11.4,31,41,1017.4,2,15.1,No
5.4,2.6,19,18,1003.6,7,29.3,No
9.4,7.5,48,26,1011.7,6,19.3,No
4,12.1,33,22,1019.1,3,15.5,No
5.4,12,19,12,1018.6,3,25.8,No
8,12.5,20,13,1009.8,4,33.4,No
5.4,11,28,36,1014.3,7,20.6,No
10,3.5,13,25,1006,7,29.3,No
9.4,6,28,9,1002.4,6,34.4,No
5.8,5.8,46,36,1001.4,6,16.4,Yes
10,13.7,24,13,1009.1,1,28.2,No
12,12.2,11,14,1014.7,7,37.5,No
4.6,12.1,13,21,1008.8,1,30.7,No
7.6,2,22,46,1005.6,7,23.6,No
11.2,4,19,36,1019.2,7,25.7,No
12.4,12.7,9,9,1011.9,1,42,No
11.6,12.9,22,19,1014.8,1,31.5,No
12,13.1,9,13,1012,1,38.2,No
11.6,12.9,9,22,1012.9,0,29.9,No
10.8,0.6,2,30,1008.8,7,31,No
13.8,11.8,31,23,1011.5,4,21,No
4.6,11.6,19,32,1014.6,5,30.7,No
5.8,11.5,13,29,1014.5,4,29.4,No
6.6,11.2,11,30,1020.7,3,29.9,No
1.4,5,15,67,1015.9,7,23.8,No
4,0,11,87,1016.6,8,20.2,Yes
1.6,0,11,95,1010.9,8,17.6,Yes
3.4,10.6,13,43,1018.9,1,21.1,No
1.6,9.8,20,37,1015,1,21,No
2.8,10.2,11,48,1014,2,16.7,No
2,9.8,11,36,1024.2,1,17.5,No
2.8,8.9,9,49,1025.3,4,19.6,No
1.8,8,13,38,1018.9,5,22.9,No
0.8,4.9,7,64,1022.9,3,16,No
1.4,6.2,9,59,1018.4,7,15.9,No
0.2,4.6,11,71,1023.4,7,13.6,No
1.8,1.8,20,76,1021.7,6,12.8,No
0.2,0,6,89,1025.1,8,8.4,No
1,1.6,20,73,1011.2,7,9.6,No
1.4,5.5,31,49,1012.5,5,11.1,Yes
1.6,0.9,17,68,1016.4,8,12.8,No
0.2,9.6,30,29,1006.4,1,19.5,No
1.4,5.9,11,57,1029.2,7,13.1,No
1.8,9.8,11,34,1032.5,1,15.1,No
2.2,9.9,9,46,1027.1,1,16.2,No
2.8,10.6,2,42,1026.9,1,17.8,No
2.2,8.9,7,25,1017,4,14.8,No
3.8,7.5,26,49,1017.1,6,18.4,No
4,10.3,24,42,1020.5,7,14,No
1.4,3.8,31,52,1012.4,5,19.3,No
4.4,10.9,20,38,1020.5,1,18.9,No
5.2,11.2,11,32,1019.5,2,21.8,No
4,12.2,28,36,1018,5,18.5,No
6.6,11.7,11,18,1013.8,7,32.2,No
7,11.4,24,9,1011.8,1,29.7,No
9.2,11.5,19,15,1012.5,7,26.1,No
7,12.9,9,7,1011.4,7,31.9,No
8,10.8,19,10,1006.7,5,34.2,No
6.6,13.4,7,22,1017.6,3,27.5,No
3.6,6.4,7,47,1007.3,7,29.7,Yes
7.8,9.8,31,27,1008.2,2,27.7,No
7.2,13.7,28,9,1004.5,2,29.7,No
7,6.9,13,33,1006,7,27.4,No
10.6,13.1,11,12,1010.4,6,33.5,No
9.2,8.4,20,22,1006.5,7,35.7,Yes
3.6,12.7,26,37,1004.8,2,25.8,No
6,11.9,11,43,1008.6,3,29.7,No
8,12.6,17,21,1011.3,2,24.7,No
10.8,13.1,15,27,1019.4,2,29.3,No
9.8,8.4,13,30,1017.9,7,31.2,No
5.8,9.1,13,29,1014.9,7,31.5,No
8.8,6.7,9,46,1006.5,5,26.4,No
10.8,11.9,31,14,1011.6,2,22.6,No
8.6,11.7,30,11,1013,1,29.7,No
9,11.2,11,21,1008.7,1,32,No
6,10.7,30,19,1019.4,1,19.4,No
6.4,1.7,19,41,1016.9,7,24.7,No
2.8,10.9,9,32,1020.4,1,21.6,No
3,10.6,15,21,1020.6,5,26.6,Yes
4,8.4,13,42,1009.5,4,24.1,No
2.8,7.8,26,44,1019.6,4,13.5,No
2.8,8,20,52,1028.9,3,13.8,No
0.8,6.9,4,59,1019,4,16.2,No
0.6,6.9,11,62,1019.3,2,18.5,No
0.8,9,11,46,1033.6,0,16.3,No
3.2,0,15,97,1014.2,8,10.8,Yes
0.6,1.5,20,78,1026.9,7,10.5,No
1.6,2.2,37,77,1022.3,7,9.4,No
1.6,8.3,13,53,1025.1,2,13.9,Yes
1,0.1,13,67,1015.5,7,11.4,No
0.6,7.6,7,40,1023.3,2,16.2,No
1.2,6.2,17,56,1021.6,7,12.3,No
0.2,0.1,11,78,1021.2,7,8.3,No
2.8,4,20,72,1020.4,7,11,No
1.4,10.4,11,47,1025,2,16.1,No
2.2,0.8,19,93,1018.9,7,9,Yes
3.2,1,17,77,1011.7,7,12.8,Yes
2.2,10.1,11,50,1029.3,5,16.7,No
3,9.9,22,46,1020.3,3,16.2,No
4.4,9,20,40,1026.4,4,15.3,No
4.2,11.7,19,34,1026.3,1,20.5,No
5.2,9.1,20,37,1031.5,6,23.7,No
7.8,12.2,13,33,1019.7,1,30.2,No
2,5.9,15,54,1013.2,5,22.4,No
5.4,12.7,13,18,1018.6,1,27.2,No
3.6,0.5,9,85,1005.6,7,21.1,Yes
4.6,4.7,22,51,1013,7,25.4,Yes
10,9.3,22,21,1011.3,1,36.3,No
12.8,10.8,35,21,1008.3,1,20.7,No
8,13.7,9,22,1021.7,1,26.9,No
9,12.9,31,16,1010.1,2,31.4,No
12,13.9,7,23,1012.9,1,30.7,No
8,13.6,24,17,1013.8,1,28.7,No
10,11.2,9,15,1012.7,4,34.5,No
4.8,13.7,17,23,1014.8,2,27.4,No
15,1.4,33,52,1013.7,7,23.4,Yes
10.6,3.9,33,40,1007.6,7,32.3,No
3.8,7.3,11,44,1003.4,3,29.3,Yes
5,12.8,7,35,1011,2,29.2,No
9.8,11.3,9,16,1009.9,4,33.2,No
8.4,12.8,15,27,1006.7,1,28.6,No
15,7.6,24,15,1008.4,7,36.1,No
12,7.5,9,15,1015.4,3,37.1,Yes
8,4.4,7,24,1015.1,7,35.1,Yes
9.6,10.7,11,30,1009.4,2,30.4,Yes
5.4,1.2,11,31,1018.1,7,25.8,No
8,10.5,11,20,1020,7,22.6,No
5.8,9.6,9,26,1024.3,2,27.8,No
4,7.1,9,33,1019.9,7,25,Yes